⟨ϵ⟩, ⟨|m|⟩
-0.206125, 0.0445125
-0.380825, 0.087725
-0.538583, 0.140554
-0.659681, 0.144244
-0.745255, 0.151438
-0.804833, 0.145604
-0.852804, 0.13198
-0.889803, 0.12743
-0.910022, 0.122869
-0.92541, 0.1132
-0.935684, 0.106673
-0.945731, 0.102132
-0.957237, 0.100719
-0.965225, 0.100793
-0.97733, 0.100404
-0.987861, 0.0993617
-0.991965, 0.0947051
-0.995185, 0.0935208
-1.00191, 0.0977816
-1.01322, 0.106384
-1.02394, 0.112857
-1.03479, 0.116719
-1.04187, 0.121009
-1.04946, 0.125703
-1.05479, 0.133892
-1.05785, 0.144338
-1.06137, 0.158232
-1.06693, 0.172801
-1.07322, 0.184021
-1.07751, 0.191011
-1.08145, 0.198353
-1.0825, 0.205751
-1.08164, 0.214306
-1.08089, 0.224985
-1.08406, 0.234364
-1.09256, 0.246206
-1.09872, 0.255981
-1.10355, 0.263292
-1.10848, 0.269678
-1.11314, 0.278561
-1.11745, 0.285954
-1.1226, 0.293152
-1.12885, 0.297879
-1.13334, 0.302531
-1.13827, 0.307821
-1.14267, 0.315215
-1.14429, 0.32185
-1.14483, 0.326658
-1.14689, 0.328188
-1.149, 0.33007
-1.15204, 0.333703
-1.15636, 0.338028
-1.15979, 0.342813
-1.16129, 0.345667
-1.16262, 0.347275
-1.16195, 0.346702
-1.16136, 0.347691
-1.16128, 0.351192
-1.16276, 0.354317
-1.16298, 0.355341
-1.16335, 0.35691
-1.16417, 0.359439
-1.16939, 0.3661
-1.17264, 0.371196
-1.17601, 0.375387
-1.17703, 0.376762
-1.17804, 0.377422
-1.17853, 0.378868
-1.17968, 0.3821
-1.17913, 0.384234
-1.18001, 0.387754
-1.18096, 0.391508
-1.18131, 0.39431
-1.18065, 0.396698
-1.18383, 0.400927
-1.18792, 0.406121
-1.19071, 0.410585
-1.19309, 0.414802
-1.19388, 0.41809
-1.19496, 0.420547
-1.19515, 0.422521
-1.19808, 0.426371
-1.20041, 0.430266
-1.20069, 0.432944
-1.19933, 0.434473
-1.19934, 0.436655
-1.19904, 0.438608
-1.19786, 0.440121
-1.19751, 0.440722
-1.19655, 0.440998
-1.19553, 0.440825
-1.19562, 0.440788
-1.19416, 0.439177
-1.19299, 0.439201
-1.19258, 0.439709
-1.19321, 0.441645
-1.19456, 0.444276
-1.19627, 0.446493
-1.19923, 0.448583
-1.20183, 0.451161
-1.20454, 0.453683
-1.20541, 0.455466
-1.20621, 0.456999
-1.20606, 0.456877
-1.20585, 0.457189
-1.20607, 0.457911
-1.20691, 0.459783
-1.20875, 0.461956
-1.20946, 0.462973
-1.20924, 0.462525
-1.20902, 0.46218
-1.20962, 0.46206
-1.20992, 0.461743
-1.21006, 0.461088
-1.21055, 0.461421
-1.21073, 0.46252
-1.21112, 0.463556
-1.21111, 0.464279
-1.21151, 0.465178
-1.21024, 0.46569
-1.20963, 0.466697
-1.20956, 0.467706
-1.21001, 0.468755
-1.211, 0.470461
-1.21076, 0.471582
-1.2107, 0.471973
-1.21054, 0.472754
-1.20992, 0.473532
-1.21103, 0.475273
-1.21328, 0.47782
-1.21484, 0.480066
-1.21644, 0.482177
-1.21808, 0.484298
-1.21895, 0.485908
-1.21863, 0.487002
-1.21845, 0.488297
-1.21894, 0.48961
-1.2198, 0.491156
-1.22168, 0.493229
-1.2241, 0.495617
-1.22581, 0.497296
-1.2265, 0.498574
-1.22769, 0.50019
-1.22888, 0.50182
-1.23137, 0.504214
-1.23401, 0.506625
-1.23643, 0.508682
-1.2373, 0.509937
-1.23808, 0.510775
-1.23884, 0.511933
-1.23977, 0.513437
-1.24026, 0.514667
-1.24141, 0.516143
-1.24315, 0.517992
-1.24485, 0.519854
-1.24676, 0.521917
-1.24851, 0.523952
-1.25039, 0.52598
-1.25232, 0.52786
-1.25395, 0.529682
-1.255, 0.531009
-1.25574, 0.53232
-1.25585, 0.532833
-1.25505, 0.532186
-1.25398, 0.531154
-1.25281, 0.529679
-1.25216, 0.528077
-1.25152, 0.52661
-1.25106, 0.525204
-1.25058, 0.523516
-1.24981, 0.521656
-1.24873, 0.519366
-1.24737, 0.517113
-1.24593, 0.515566
-1.2441, 0.514046
-1.24284, 0.512483
-1.24271, 0.511419
