⟨ϵ⟩, ⟨|m|⟩
-3.51195e-06, 8.03823e-07
-2.17794e-06, 9.26642e-07
-4.25709e-07, 2.90198e+257
-3.83189e-05, 8.85529e-06
-2.5999e-07, 4.40572e+06
-2.5999e-07, 4.40572e+06
-0.059875, 0.126775
-8.91482e-07, -1.38675e+261
-7.53188e-07, 4.66754e+232
-9.85907e-06, 2.63376e-06
-0.000116355, 2.98922e-05
-1.90453e-06, 2.90194e+257
-2.79839e-06, -1.38672e+261
-6.52699e-06, 3.34415e-06
-1.45988e-06, 4.40554e+06
-1.64753e-05, 4.68781e-06
-0.000195027, 5.11597e-05
-1.46755e-06, 4.66746e+232
-3.96158e-06, 2.90191e+257
-2.28748e-05, 6.68764e-06
-0.0799375, 0.143388
-0.000274986, 7.27487e-05
-2.42748e-06, 4.66739e+232
-6.01858e-06, 2.90188e+257
-2.9274e-05, 8.68742e-06
-0.000354932, 9.43343e-05
-8.07554e-06, 2.90184e+257
-3.56731e-05, 1.06871e-05
-3.56731e-05, 1.06871e-05

1.10598e-05, 6.94378e-06
-0.000434865, 0.000115916
-0.086625, 0.148925
-4.39824e-06, -1.38669e+261
-4.20721e-05, 1.26868e-05
-1.55923e-05, 1.05432e-05
-3.38738e-06, 4.66732e+232
-2.65968e-06, 4.40536e+06
-2.01247e-05, 1.41424e-05
-4.34725e-06, 4.66724e+232
-0.000514786, 0.000137495
-3.85938e-06, 4.40519e+06
-4.84708e-05, 1.46864e-05
-2.46567e-05, 1.77415e-05
-5.30709e-06, 4.66717e+232
-5.68286e-06, 4.40501e+06
-2.91886e-05, 2.13403e-05
-6.2613e-06, 4.66709e+232
-0.0899687, 0.151694
-8.49596e-06, 4.40483e+06
-3.37201e-05, 2.4939e-05
-1.01324e-05, 2.90181e+257
-5.99802e-06, -1.38666e+261
-6.90112e-06, 4.66702e+232
-0.000593446, 0.000158758
-5.48694e-05, 1.6686e-05
-1.20946e-05, 4.40466e+06
-7.54091e-06, 4.66694e+232
-3.78542e-05, 2.84382e-05
-0.091975, 0.153355
-8.18069e-06, 4.66687e+232
-1.23596e-05, 2.90178e+257
-0.0933125, 0.154463
-0.000670143, 0.000179531
-8.82045e-06, 4.66679e+232
-1.61508e-05, 4.40448e+06
-1.46449e-05, 2.90174e+257
-0.0942679, 0.155254
-4.18522e-05, 3.19032e-05
-9.46018e-06, 4.66672e+232
-1.69303e-05, 2.90171e+257
-2.05486e-05, 4.40431e+06
-1.00999e-05, 4.66664e+232
-1.92155e-05, 2.90168e+257
-0.000746829, 0.0002003
-2.4946e-05, 4.40413e+06
-6.11152e-05, 1.86473e-05
-0.000823501, -2.15007e-05, 2.90165e+257
-1.07396e-05, 4.66657e+232
-4.58499e-05, 3.5368e-05
-2.93431e-05, 4.40395e+06
-0.0949844, 0.155847
-0.0949844, 0.155847
e+06
-7.59774e-06, -1.38664e+261-0.0949844, 0.155847
e+06
-7.59774e-06, -1.38664e+261
-1.13793e-05, 4.66649e+232
-0.0949806, 0.156168
-4.98474e-05, 3.88326e-05
-1.20189e-05, 4.66642e+232
-2.37859e-05, 2.90161e+257
-3.31521e-05, 4.40378e+06
-6.72468e-05, 2.05801e-05
-5.38447e-05, 4.2297e-05
-0.000900162, 0.000241828
-9.59235e-06, -1.38661e+261
-2.6071e-05, 2.90158e+257
-0.0954825, 0.156551
-0.0954825, 0.156551
+257
-1.26586e-05, 4.66634e+232
-0.0958932, 0.156865
-3.61012e-05, 4.4036e+06
-0.00097681, 0.000262587
-1.32982e-05, 4.66627e+232
-1.15919e-05, -1.38658e+261
-0.0962354, 0.157126
-0.00105345, 0.000283343
-2.8356e-05, 2.90155e+257
-3.80987e-05, 4.40343e+06
-7.35942e-05, 2.25669e-05
-1.35913e-05, -1.38655e+261
-1.39378e-05, 4.6662e+232
-5.78417e-05, 4.57612e-05
-3.0853e-05, 2.90151e+257
-0.096525, 0.157347
-1.45773e-05, 4.66612e+232
-1.55907e-05, -1.38652e+261
-4.00959e-05, 4.40325e+06
-3.3439e-05, 2.90148e+257
-6.16693e-05, 4.9183e-05
0.000303725
-0.0967732, 0.157537
-8.02588e-05, 2.46329e-05
-1.52169e-05, 4.66605e+232
-4.20931e-05, 4.40307e+06
-0.0969883, 0.157701
-3.6181e-05, 2.90145e+257
-8.69231e-05, 2.66988e-05
-6.51329e-05, 5.25136e-05
-0.0971766, 0.157845
-3.89229e-05, 2.90141e+257
-9.35873e-05, 2.87647e-05
-4.409e-05, 4.4029e+06
-0.0012036, 0.000324074
-1.759e-05, -1.3865e+261
-0.0973426, 0.157971
-0.000100251, 3.08306e-05
-0.000100251, 3.08306e-05
-4.16647e-05, 2.90138e+257
-1.58564e-05, 4.66597e+232
-0.00127719, 0.000344066
-1.99441e-05, -1.38647e+261
-4.60868e-05, 4.40272e+06
-1.64959e-05, 4.6659e+232
-0.00135058, 0.00036401
-2.23431e-05, -1.38644e+261
-6.85962e-05, 5.5844e-05
-4.80835e-05, 4.40255e+06
-0.0974903, 0.158084
-0.000106915, 3.28964e-05
-1.71354e-05, 4.66582e+232
-0.00142396, 0.00038395
-2.47421e-05, -1.38641e+261
-5.00799e-05, 4.40237e+06
-0.0976224, 0.158185
-0.00149733, 0.000403888
-5.20763e-05, 4.40219e+06
-2.71409e-05, -1.38639e+261
-7.20594e-05, 5.91743e-05
-0.0977413, 0.158276
-1.77749e-05, 4.66575e+232
-4.44064e-05, 2.90135e+257
-0.00157068, 0.000423822
-5.40724e-05, 4.40202e+06
-0.000113579, 3.49621e-05
-7.55224e-05, 6.25043e-05
-0.00164403, 0.000443753
-4.71481e-05, 2.90131e+257
-0.0978488, 0.158358
-1.84143e-05, 4.66567e+232
-2.95396e-05, -1.38636e+261
-7.89852e-05, 6.58342e-05
-0.000120242, 3.70278e-05
-4.98897e-05, 2.90128e+257
-0.0979466, 0.158432
-5.60684e-05, 4.40184e+06
-8.24478e-05, 6.91639e-05
-0.00171736, 0.000463681
-5.24228e-05, 2.90125e+257
-0.000126905, 3.90934e-05--5.80643e-05, 4.40167e+06
-5.80643e-05, 4.40167e+06
0.158699
-8.59103e-05, 7.24935e-05
-5.49358e-05, 2.90121e+257
-3.19383e-05, -1.38633e+261
-1.90538e-05, 4.6656e+232
-5.7391e-05, -8.93725e-05, 2.90118e+257
7.58228e-05
-6.00599e-05, 4.40149e+06
-1.96932e-05, 4.66552e+232
-5.96754e-05, 2.90115e+257
-0.00179068, 0.000483605
