⟨ϵ⟩, ⟨|m|⟩
-1.97811, 0.981421
-1.97817, 0.981485
-1.97825, 0.981555
-1.97833, 0.981624
-1.97842, 0.981692
-1.9785, 0.98176
-1.97857, 0.981827
-1.97865, 0.981894
-1.97873, 0.98196
-1.97881, 0.982026
-1.97889, 0.982091
-1.97896, 0.982156
-1.97904, 0.982221
-1.97911, 0.982285
-1.97919, 0.982348
-1.97926, 0.982411
-1.97932, 0.98247
-1.97934, 0.982518
-1.97941, 0.98258
-1.97948, 0.982641
-1.97949, 0.982685
-1.97956, 0.982745
-1.97963, 0.982805
-1.9797, 0.982865
-1.97977, 0.982924
-1.97984, 0.982983
-1.97991, 0.983042
-1.97998, 0.9831
-1.98005, 0.983157
-1.98011, 0.983215
-1.98018, 0.983272
-1.98025, 0.983328
-1.98032, 0.983384
-1.98038, 0.98344
-1.98045, 0.983495
-1.98051, 0.98355
-1.98058, 0.983605
-1.98064, 0.983659
-1.98071, 0.983713
-1.98077, 0.983767
-1.98083, 0.98382
-1.98089, 0.983873
-1.98096, 0.983925
-1.98102, 0.983978
-1.98108, 0.984029
-1.98114, 0.984081
-1.9812, 0.984132
-1.98126, 0.984183
-1.98132, 0.984234
-1.98126, 0.984254
-1.98125, 0.984286
-1.98131, 0.984336
-1.98137, 0.984385
-1.98143, 0.984434
-1.98144, 0.984472
-1.98148, 0.984516
-1.98154, 0.984564
-1.98153, 0.984597
-1.98159, 0.984644
-1.98165, 0.984692
-1.9817, 0.984739
-1.98176, 0.984786
-1.98182, 0.984832
-1.98187, 0.984878
-1.98193, 0.984924
-1.98198, 0.98497
-1.98204, 0.985015
-1.98209, 0.985061
-1.98214, 0.985105
-1.9822, 0.98515
-1.98225, 0.985194
-1.9823, 0.985238
-1.98236, 0.985282
-1.98241, 0.985326
-1.98246, 0.985369
-1.98251, 0.985412
-1.98256, 0.985455
-1.98261, 0.985497
-1.98266, 0.98554
-1.98271, 0.985582
-1.98276, 0.985623
-1.98281, 0.985665
-1.98286, 0.985706
-1.98291, 0.985747
-1.98296, 0.985788
-1.98301, 0.985829
-1.983, 0.985855
-1.98305, 0.985895
-1.9831, 0.985935
-1.98314, 0.985973
-1.98314, 0.986
-1.98318, 0.98604
-1.98323, 0.986079
-1.98326, 0.986112
-1.98327, 0.986142
-1.98332, 0.986181
-1.98336, 0.986219
-1.98341, 0.986257
-1.98345, 0.986295
-1.9835, 0.986333
-1.98354, 0.98637
-1.98359, 0.986407
-1.98363, 0.986444
-1.98368, 0.986481
-1.98372, 0.986518
-1.98377, 0.986554
-1.98381, 0.986591
-1.98385, 0.986627
-1.9839, 0.986662
-1.98394, 0.986698
-1.98398, 0.986734
-1.98403, 0.986769
-1.98407, 0.986804
-1.98411, 0.986839
-1.98415, 0.986874
-1.98419, 0.986908
-1.98424, 0.986943
-1.98428, 0.986977
-1.98432, 0.987011
-1.98436, 0.987045
-1.9844, 0.987078
-1.98444, 0.987112
-1.98448, 0.987145
-1.98452, 0.987178
-1.98456, 0.987211
-1.9846, 0.987244
-1.98464, 0.987276
-1.98468, 0.987309
-1.98472, 0.987341
-1.98476, 0.987373
-1.98479, 0.987405
-1.98483, 0.987437
-1.98481, 0.987449
-1.98483, 0.987475
-1.98487, 0.987507
-1.98491, 0.987538
-1.98495, 0.987569
-1.98498, 0.9876
-1.98502, 0.987631
-1.98506, 0.987661
-1.9851, 0.987692
-1.98513, 0.987722
-1.98517, 0.987752
-1.98521, 0.987782
-1.98524, 0.987812
-1.98528, 0.987842
-1.98531, 0.987871
-1.98535, 0.987901
-1.98538, 0.98793
-1.98542, 0.987959
-1.98545, 0.987988
-1.98549, 0.988017
-1.98552, 0.988046
-1.98556, 0.988074
-1.98559, 0.988103
-1.98563, 0.988131
-1.98566, 0.988159
-1.98567, 0.988182
-1.98568, 0.988204
-1.98572, 0.988231
-1.98575, 0.988259
-1.98578, 0.988287
-1.98582, 0.988314
-1.98585, 0.988341
-1.98588, 0.988369
-1.98592, 0.988396
-1.98595, 0.988423
-1.98598, 0.988449
-1.98601, 0.988476
-1.98605, 0.988503
-1.98603, 0.988517
-1.98606, 0.988544
-1.9861, 0.98857
-1.98613, 0.988596
-1.98616, 0.988622
-1.98619, 0.988648
-1.98622, 0.988674
-1.98625, 0.988699
-1.98624, 0.988711
-1.98623, 0.988724
-1.98623, 0.988742
-1.98626, 0.988767
-1.98629, 0.988792
-1.98632, 0.988817
-1.98635, 0.988842
-1.98638, 0.988867
-1.98639, 0.988886
-1.98635, 0.988886
-1.98634, 0.988896
-1.98637, 0.988921
-1.9864, 0.988945
-1.98643, 0.98897
-1.98646, 0.988994
-1.98649, 0.989018
-1.98652, 0.989042
-1.98655, 0.989065
-1.98656, 0.989082
-1.98654, 0.989091
-1.98657, 0.989115
-1.9866, 0.989138
-1.98663, 0.989162
-1.98666, 0.989185
-1.98669, 0.989208
-1.98672, 0.989231
-1.98674, 0.989254
-1.98677, 0.989277
-1.9868, 0.9893
-1.98683, 0.989322
-1.98686, 0.989345
-1.98686, 0.989363
-1.98687, 0.989379
-1.9869, 0.989401
-1.98692, 0.989424
-1.98695, 0.989446
-1.98698, 0.989468
-1.98701, 0.98949
-1.98703, 0.989512
-1.98706, 0.989533
-1.98709, 0.989555
-1.98708, 0.989569
-1.9871, 0.989588
-1.98712, 0.989609
-1.98715, 0.989631
-1.98718, 0.989652
-1.9872, 0.989673
-1.98723, 0.989694
-1.98726, 0.989715
-1.98728, 0.989736
-1.98731, 0.989757
-1.98733, 0.989778
-1.98736, 0.989798
-1.98738, 0.989819
-1.98741, 0.989839
-1.98744, 0.98986
-1.98746, 0.98988
-1.98749, 0.9899
-1.98751, 0.98992
-1.98754, 0.98994
-1.98756, 0.98996
-1.98758, 0.98998
-1.98761, 0.99
-1.98759, 0.99001
-1.98762, 0.99003
-1.98764, 0.990049
-1.98767, 0.990069
-1.98769, 0.990088
-1.98772, 0.990108
-1.98774, 0.990127
-1.98776, 0.990146
-1.98779, 0.990166
-1.98781, 0.990185
-1.98783, 0.990204
-1.98786, 0.990223
-1.98788, 0.990242
-1.98791, 0.99026
-1.9879, 0.990273
-1.9879, 0.990285
-1.9879, 0.990297
-1.98792, 0.990316
-1.98794, 0.990334
-1.98794, 0.990346
-1.98793, 0.990355
-1.98794, 0.99037
-1.98796, 0.990388
-1.98798, 0.990407
-1.98801, 0.990425
-1.98803, 0.990443
-1.98805, 0.990461
-1.98807, 0.990479
-1.98807, 0.990491
-1.98806, 0.990499
-1.98807, 0.990513
-1.98809, 0.990531
-1.98811, 0.990549
-1.98813, 0.990566
-1.98815, 0.990584
-1.98818, 0.990601
-1.9882, 0.990618
-1.98822, 0.990636
-1.98824, 0.990653
-1.98826, 0.99067
-1.98829, 0.990687
-1.98831, 0.990704
-1.98833, 0.990721
-1.98835, 0.990738
-1.98837, 0.990755
-1.98839, 0.990772
-1.98841, 0.990788
-1.98843, 0.990805
-1.98845, 0.990821
-1.98848, 0.990838
-1.98847, 0.990847
-1.98848, 0.990862
-1.9885, 0.990878
-1.98852, 0.990895
-1.98854, 0.990911
-1.98856, 0.990927
-1.98858, 0.990943
-1.98857, 0.990951
-1.98859, 0.990966
-1.98861, 0.990982
-1.98863, 0.990998
-1.98865, 0.991014
-1.98867, 0.99103
-1.98869, 0.991046
-1.98871, 0.991062
-1.98873, 0.991077
-1.98875, 0.991093
-1.98877, 0.991108
-1.98879, 0.991124
-1.98881, 0.991139
-1.98883, 0.991155
-1.98885, 0.99117
-1.98886, 0.991185
-1.98888, 0.991201
-1.9889, 0.991216
-1.98892, 0.991231
-1.98894, 0.991246
-1.98896, 0.991261
-1.98898, 0.991276
-1.989, 0.991291
-1.98902, 0.991306
-1.98904, 0.99132
-1.98905, 0.991335
-1.98907, 0.99135
-1.98909, 0.991365
-1.9891, 0.991376
-1.98909, 0.991385
-1.98911, 0.9914
-1.98913, 0.991413
-1.9891, 0.991412
-1.98912, 0.991426
-1.98913, 0.991441
-1.98915, 0.991455
-1.98916, 0.991467
-1.98916, 0.991475
-1.98917, 0.991489
-1.98919, 0.991503
-1.98921, 0.991518
-1.98923, 0.991532
-1.98924, 0.991546
-1.98923, 0.991552
-1.98925, 0.991565
-1.98927, 0.991579
-1.98928, 0.991593
-1.9893, 0.991607
-1.98929, 0.991612
-1.9893, 0.991626
-1.98932, 0.99164
-1.98929, 0.991642
-1.98926, 0.991642
-1.98927, 0.991656
-1.98927, 0.991664
-1.98928, 0.991675
-1.98929, 0.991688
-1.98931, 0.991702
-1.98933, 0.991715
-1.98933, 0.991724
-1.98933, 0.991734
-1.98935, 0.991747
-1.98937, 0.99176
-1.98938, 0.991773
-1.9894, 0.991786
-1.98941, 0.991798
-1.9894, 0.991805
-1.98942, 0.991818
-1.98943, 0.991831
-1.98945, 0.991844
-1.98947, 0.991856
-1.98948, 0.991869
-1.9895, 0.991882
-1.98952, 0.991895
-1.98953, 0.991908
-1.98955, 0.99192
-1.98957, 0.991933
-1.98958, 0.991945
-1.9896, 0.991958
-1.98962, 0.991971
-1.98963, 0.991983
-1.98965, 0.991995
-1.98966, 0.992008
-1.98966, 0.992014
-1.98966, 0.992025
-1.98968, 0.992037
