⟨ϵ⟩, ⟨|m|⟩
-1.23642, 0.473546
-1.2365, 0.474178
-1.23669, 0.474716
-1.23655, 0.475062
-1.23643, 0.475678
-1.23653, 0.476406
-1.2374, 0.477433
-1.23845, 0.478648
-1.23946, 0.479957
-1.24003, 0.480722
-1.24065, 0.481319
-1.24121, 0.481573
-1.24179, 0.482027
-1.24211, 0.482389
-1.24229, 0.482849
-1.24298, 0.483491
-1.24314, 0.48386
-1.24295, 0.483831
-1.24279, 0.483907
-1.2432, 0.484333
-1.24397, 0.48481
-1.24427, 0.484821
-1.24465, 0.484744
-1.24506, 0.484719
-1.24501, 0.484665
-1.24458, 0.483966
-1.24358, 0.482613
-1.24251, 0.481102
-1.2419, 0.479624
-1.24131, 0.478134
-1.24081, 0.47671
-1.24071, 0.475597
-1.24063, 0.474757
-1.24035, 0.47422
-1.24037, 0.474042
-1.24017, 0.47372
-1.24018, 0.473071
-1.24067, 0.472438
-1.24114, 0.471313
-1.24128, 0.470015
-1.24132, 0.468624
-1.24145, 0.467458
-1.24143, 0.466262
-1.24155, 0.464812
-1.24139, 0.463509
-1.24071, 0.4621
-1.23979, 0.46066
-1.23933, 0.459331
-1.23917, 0.458412
-1.23902, 0.457604
-1.23868, 0.457139
-1.23816, 0.456762
-1.23819, 0.456967
-1.23864, 0.457441
-1.23873, 0.457681
-1.23901, 0.458021
-1.23899, 0.458209
-1.23885, 0.458352
-1.23833, 0.458067
-1.23824, 0.457985
-1.23843, 0.458123
-1.23803, 0.457808
-1.23739, 0.45714
-1.23709, 0.456626
-1.23682, 0.456387
-1.23662, 0.456475
-1.2365, 0.456477
-1.23651, 0.456288
-1.23658, 0.456001
-1.2365, 0.455598
-1.23623, 0.454965
-1.23571, 0.454381
-1.23521, 0.453954
-1.23486, 0.453486
-1.2347, 0.453276
-1.23445, 0.453006
-1.23425, 0.452528
-1.23405, 0.451858
-1.23382, 0.451002
-1.23333, 0.450557
-1.23311, 0.4502
-1.23309, 0.449938
-1.23311, 0.44944
-1.23316, 0.449096
-1.23277, 0.448628
-1.23222, 0.448038
-1.23177, 0.447295
-1.23135, 0.446245
-1.23115, 0.445211
-1.23088, 0.444256
-1.23074, 0.443518
-1.23073, 0.442773
-1.23071, 0.441889
-1.23088, 0.441375
-1.2308, 0.440782
-1.23057, 0.439983
-1.23017, 0.439055
-1.22982, 0.438029
-1.22954, 0.436948
-1.22923, 0.436011
-1.22901, 0.435271
-1.229, 0.434518
-1.22868, 0.433725
-1.2286, 0.432815
-1.22874, 0.431823
-1.22887, 0.430845
-1.2288, 0.429745
-1.22861, 0.42886
-1.22827, 0.427947
-1.22772, 0.427103
-1.22704, 0.426358
-1.22661, 0.425935
-1.22598, 0.425461
-1.22539, 0.424826
-1.22505, 0.423853
-1.22505, 0.42281
-1.22522, 0.421771
-1.2254, 0.420984
-1.22532, 0.420492
-1.2251, 0.419631
-1.22478, 0.418782
-1.2246, 0.418154
-1.22443, 0.41767
-1.22449, 0.417194
-1.22453, 0.416939
-1.22435, 0.416608
-1.22434, 0.416179
-1.2244, 0.416014
-1.22455, 0.415887
-1.22457, 0.415847
-1.22459, 0.415922
-1.22469, 0.4162
-1.22479, 0.416352
-1.22501, 0.416415
-1.22533, 0.416472
-1.22517, 0.416254
-1.22495, 0.415536
-1.225, 0.414943
-1.225, 0.414482
-1.22476, 0.413905
-1.22422, 0.413175
-1.22373, 0.412357
-1.2232, 0.411699
-1.2224, 0.410846
-1.2218, 0.409905
-1.22161, 0.409384
-1.22149, 0.409111
-1.22147, 0.408811
-1.22146, 0.408537
-1.22145, 0.408373
-1.22181, 0.408243
-1.22202, 0.407902
-1.22218, 0.407535
-1.22234, 0.407102
-1.22252, 0.406701
-1.22277, 0.406426
-1.22299, 0.406229
-1.223, 0.406116
-1.22292, 0.406295
-1.22289, 0.406529
-1.22307, 0.406982
-1.22343, 0.407633
-1.22369, 0.408183
-1.22372, 0.408598
-1.22351, 0.408857
-1.2234, 0.409218
-1.2235, 0.409643
-1.2235, 0.41001
-1.22375, 0.41042
-1.22407, 0.410863
-1.22415, 0.411142
-1.22421, 0.41143
-1.22439, 0.411837
-1.22469, 0.41231
-1.22514, 0.412964
-1.22537, 0.41335
-1.22558, 0.413704
-1.22536, 0.413901
-1.22519, 0.413934
-1.22496, 0.414192
-1.2248, 0.414536
-1.22483, 0.414925
-1.22518, 0.415534
-1.22544, 0.416189
-1.2258, 0.416932
-1.22611, 0.417581
-1.2263, 0.417935
-1.22641, 0.418227
-1.22647, 0.418503
-1.22644, 0.418678
-1.22659, 0.418842
-1.22705, 0.419289
-1.22728, 0.419651
-1.2276, 0.420015
-1.22793, 0.420456
-1.22792, 0.420805
-1.22785, 0.420873
-1.22794, 0.421128
-1.22806, 0.421497
-1.22827, 0.421862
-1.22846, 0.42219
-1.22863, 0.422686
-1.22898, 0.423257
-1.22956, 0.423999
-1.22994, 0.424675
-1.23036, 0.425364
-1.23087, 0.42612
-1.23119, 0.426662
-1.23122, 0.427011
-1.23107, 0.427214
-1.23107, 0.427553
-1.23117, 0.427918
-1.23115, 0.427987
-1.23087, 0.427695
-1.2304, 0.427269
-1.23018, 0.426648
-1.23004, 0.426004
-1.22992, 0.425584
-1.22957, 0.424942
-1.22903, 0.424183
-1.22874, 0.423402
-1.22853, 0.422571
-1.22819, 0.421727
-1.22793, 0.421025
-1.22768, 0.4203
-1.22755, 0.419751
-1.2275, 0.419482
