T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Number of Monte Carlo cycles: 100
1.19798, -1.9875, 0.996375, 0.0692434, 0.00767746
1.21212, -1.994, 0.998125, 0.032572, 0.00431965
1.22626, -1.988, 0.99625, 0.0634586, 0.00851673
1.2404, 0, 0.250125, 0, 0.201547
1.25455, -1.9815, 0.99425, 0.093165, 0.0126482
1.26869, -1.988, 0.99625, 0.0592855, 0.00823194
1.28283, -1.988, 0.996375, 0.062847, 0.00794918
1.29697, -1.985, 0.99525, 0.0708031, 0.0103393
1.31111, -1.9885, 0.996375, 0.0532114, 0.00777771
1.32525, -1.991, 0.99725, 0.0408109, 0.00563647
1.33939, -1.983, 0.994875, 0.0796242, 0.0105607
1.35354, 0, 0.250125, 0, 0.184701
1.36768, 0, 0.250125, 0, 0.182792
1.38182, 0, 0.250125, 0, 0.180921
1.39596, 0, 0.250125, 0, 0.179088
1.4101, 0, 0.250125, 0, 0.177292
1.42424, -1.9725, 0.9915, 0.106965, 0.0162971
1.43838, 0, 0.250125, 0, 0.173806
1.45253, -1.9575, 0.98675, 0.157726, 0.0249894
1.46667, -1.975, 0.992375, 0.091813, 0.0139892
1.48081, 0, 0.250125, 0, 0.168827
1.49495, -1.967, 0.98975, 0.116178, 0.0187831
1.50909, -1.9545, 0.986125, 0.159711, 0.0248361
1.52323, 0, 0.250125, 0, 0.164125
1.53737, -1.9395, 0.981375, 0.208739, 0.0334092
1.55152, -1.972, 0.991375, 0.0917514, 0.0151158
1.56566, 0, 0.250125, 0, 0.159677
1.5798, -1.9485, 0.98425, 0.160829, 0.0265906
1.59394, -1.9695, 0.99025, 0.0945741, 0.017328
1.60808, -1.948, 0.983875, 0.159782, 0.0274924
1.62222, 0, 0.250125, 0, 0.15411
1.63636, -1.9585, 0.987375, 0.124403, 0.0208465
1.65051, 0, 0.250125, 0, 0.151469
1.66465, -1.9485, 0.984, 0.147739, 0.0264176
1.67879, -1.947, 0.98325, 0.146457, 0.0276257
1.69293, -1.931, 0.978625, 0.188749, 0.0342143
1.70707, -1.9465, 0.98325, 0.142944, 0.0268751
1.72121, -1.9135, 0.97325, 0.228879, 0.041911
1.73535, 0, 0.250125, 0, 0.144063
1.74949, -1.919, 0.9745, 0.20314, 0.039668
1.76364, -1.91, 0.97225, 0.223636, 0.0419133
1.77778, -1.919, 0.974875, 0.20179, 0.0383765
1.79192, 0, 0.250125, 0, 0.139515
1.80606, 0, 0.250125, 0, 0.138423
1.8202, 0, 0.250125, 0, 0.137347
1.83434, 0, 0.250125, 0, 0.136289
1.84848, -1.905, 0.970625, 0.2142, 0.0423582
1.86263, 0, 0.250125, 0, 0.134219
1.87677, 0, 0.250125, 0, 0.133208
1.89091, -1.9165, 0.97375, 0.179025, 0.037677
1.90505, 0, 0.250125, 0, 0.13123
1.91919, -1.884, 0.963625, 0.239507, 0.0507805
1.93333, -1.859, 0.956125, 0.284788, 0.0597672
1.94747, -1.8355, 0.94925, 0.322665, 0.0671114
1.96162, -1.886, 0.96475, 0.231817, 0.0481897
1.97576, 0, 0.250125, 0, 0.126534
1.9899, -1.871, 0.959375, 0.245836, 0.0546
2.00404, -1.875, 0.961125, 0.237415, 0.0514984
2.01818, -1.8415, 0.95125, 0.286642, 0.0616861
2.03232, -1.809, 0.94075, 0.33849, 0.0745244
2.04646, -1.86, 0.956625, 0.25253, 0.0555712
2.06061, -1.848, 0.95275, 0.264616, 0.0594824
2.07475, -1.8365, 0.949125, 0.284597, 0.0640545
2.08889, -1.8355, 0.94925, 0.285957, 0.0632862
2.10303, -1.799, 0.938125, 0.341507, 0.0755747
2.11717, 0, 0.250125, 0, 0.118082
2.13131, -1.864, 0.95725, 0.223229, 0.053108
2.14545, -1.859, 0.95575, 0.232996, 0.0550782
2.1596, -1.8035, 0.939, 0.310805, 0.072521
2.17374, 0, 0.250125, 0, 0.115009
2.18788, 0, 0.250125, 0, 0.114266
2.20202, 0, 0.250125, 0, 0.113532
2.21616, 0, 0.250125, 0, 0.112808
2.2303, 0, 0.250125, 0, 0.112092
2.24444, 0, 0.250125, 0, 0.111386
2.25859, 0, 0.250125, 0, 0.110689
2.27273, -1.7825, 0.932625, 0.304876, 0.0748407
2.28687, -1.774, 0.929, 0.308177, 0.0788572
2.30101, -1.782, 0.932125, 0.296508, 0.0746724
2.31515, -1.737, 0.9185, 0.345401, 0.0867896
2.32929, -1.737, 0.918625, 0.345643, 0.0866196
2.34343, -1.7905, 0.935125, 0.281961, 0.0707999
2.35758, 0, 0.250125, 0, 0.106041
2.37172, -1.7575, 0.924375, 0.31018, 0.080479
2.38586, -1.716, 0.912, 0.349484, 0.0903339
2.4, -1.751, 0.92225, 0.306944, 0.0811749
Number of Monte Carlo cycles: 10000
1, -1.99675, 0.999, 0.0259577, 0.002746
1.01414, 0, 0.250013, 0, 0.246514
1.02828, 0, 0.250013, 0, 0.243124
1.04242, -1.9958, 0.998713, 0.031592, 0.00342315
1.05657, -1.99375, 0.998062, 0.0446496, 0.00507303
1.07071, -1.99705, 0.999088, 0.0205556, 0.00235514
1.08485, -1.9971, 0.9991, 0.0196843, 0.00230148
1.09899, 0, 0.250013, 0, 0.227482
1.11313, -1.9939, 0.998125, 0.0392645, 0.00461395
1.12727, -1.99265, 0.997713, 0.0461021, 0.00563667
1.14141, -1.9947, 0.998363, 0.0330724, 0.00399879
1.15556, -1.9928, 0.997738, 0.0435799, 0.00554238
1.1697, -1.9928, 0.997775, 0.0419478, 0.00524084
1.18384, -1.99175, 0.997437, 0.046899, 0.00599637
1.19798, 0, 0.250013, 0, 0.208685
1.21212, 0, 0.250013, 0, 0.20625
1.22626, 0, 0.250013, 0, 0.203871
1.2404, -1.98935, 0.996687, 0.0556, 0.00744202
1.25455, -1.98875, 0.996487, 0.0568617, 0.00779218
1.26869, -1.9853, 0.9954, 0.0725261, 0.0101013
1.28283, -1.98505, 0.995337, 0.0721333, 0.0100856
1.29697, -1.98235, 0.9945, 0.0832004, 0.011742
1.31111, 0, 0.250013, 0, 0.190678
1.32525, -1.98245, 0.99455, 0.0792396, 0.0113421
1.33939, -1.98, 0.993738, 0.0887414, 0.0130418
1.35354, -1.9801, 0.993762, 0.0860322, 0.0128326
1.36768, 0, 0.250013, 0, 0.182792
1.38182, -1.97595, 0.992475, 0.0995518, 0.0151058
1.39596, 0, 0.250013, 0, 0.179088
1.4101, -1.97315, 0.991613, 0.106577, 0.0164482
1.42424, -1.9713, 0.990988, 0.111565, 0.0175884
1.43838, -1.9698, 0.990663, 0.115784, 0.0177812
1.45253, -1.9698, 0.990537, 0.113162, 0.0180836
1.46667, -1.9686, 0.9902, 0.115687, 0.0184881
1.48081, -1.9644, 0.988875, 0.127568, 0.0207015
1.49495, -1.9647, 0.988975, 0.124488, 0.0203444
1.50909, -1.96265, 0.9883, 0.128755, 0.0214052
1.52323, -1.96255, 0.988263, 0.126707, 0.0212863
1.53737, -1.95835, 0.986912, 0.13804, 0.0235401
1.55152, -1.9554, 0.986038, 0.144917, 0.0247469
1.56566, -1.95185, 0.98495, 0.154012, 0.0264068
1.5798, -1.9509, 0.984775, 0.154485, 0.026252
1.59394, -1.93635, 0.980175, 0.195618, 0.0338644
1.60808, 0, 0.250013, 0, 0.155465
1.62222, -1.94365, 0.982475, 0.167388, 0.0294174
1.63636, 0, 0.250013, 0, 0.152778
1.65051, 0, 0.250013, 0, 0.151469
1.66465, -1.9351, 0.979688, 0.181863, 0.0332951
1.67879, -1.9354, 0.979825, 0.178867, 0.0328045
1.69293, -1.92855, 0.977688, 0.192595, 0.0357272
1.70707, -1.93025, 0.978075, 0.185629, 0.0351638
1.72121, -1.9293, 0.977938, 0.185247, 0.0348173
1.73535, 0, 0.250013, 0, 0.144063
1.74949, -1.92275, 0.976, 0.195159, 0.0369512
1.76364, -1.9094, 0.971712, 0.223497, 0.0431632
1.77778, 0, 0.250013, 0, 0.140625
1.79192, -1.90565, 0.970487, 0.224976, 0.0443329
1.80606, -1.9104, 0.972113, 0.211134, 0.0414516
1.8202, -1.90975, 0.97165, 0.20857, 0.0421575
1.83434, -1.89665, 0.967762, 0.233735, 0.0469203
1.84848, -1.90685, 0.970888, 0.209106, 0.0424049
1.86263, -1.90095, 0.96905, 0.218932, 0.044678
1.87677, 0, 0.250013, 0, 0.133208
1.89091, 0, 0.250013, 0, 0.132212
1.90505, -1.8914, 0.966087, 0.227714, 0.0475446
1.91919, -1.87985, 0.962588, 0.247674, 0.0517281
1.93333, -1.87145, 0.959912, 0.261519, 0.0550846
1.94747, 0, 0.250013, 0, 0.128371
1.96162, -1.8672, 0.958538, 0.260674, 0.0559735
1.97576, -1.86205, 0.957075, 0.266491, 0.0572083
1.9899, -1.86535, 0.957862, 0.255746, 0.0560695
2.00404, -1.8524, 0.953925, 0.274703, 0.0603573
2.01818, -1.8542, 0.954438, 0.269618, 0.0596186
2.03232, -1.85255, 0.954137, 0.268606, 0.0592236
2.04646, -1.84525, 0.9518, 0.27598, 0.061573
2.06061, -1.85, 0.953237, 0.263677, 0.0594136
2.07475, -1.8346, 0.948475, 0.285503, 0.0646251
2.08889, -1.83425, 0.948263, 0.281086, 0.0644448
2.10303, -1.83735, 0.949213, 0.272813, 0.0629841
2.11717, -1.8202, 0.94405, 0.295441, 0.0681704
2.13131, -1.83935, 0.949838, 0.262491, 0.0614222
2.14545, -1.8297, 0.946963, 0.274429, 0.064193
2.1596, -1.81825, 0.94335, 0.287545, 0.0678428
2.17374, -1.81085, 0.9412, 0.295714, 0.0697049
2.18788, -1.80645, 0.939638, 0.295176, 0.0708222
2.20202, -1.81345, 0.941863, 0.281713, 0.0679172
2.21616, -1.8012, 0.937937, 0.295379, 0.0718892
2.2303, -1.80765, 0.939975, 0.284265, 0.0694246
2.24444, 0, 0.250013, 0, 0.111386
2.25859, -1.7838, 0.932662, 0.308678, 0.0760155
2.27273, -1.7825, 0.932175, 0.304722, 0.0758996
2.28687, -1.7718, 0.928937, 0.314756, 0.0786121
2.30101, -1.7717, 0.928837, 0.311015, 0.0783215
2.31515, -1.76505, 0.926825, 0.314555, 0.0796413
2.32929, -1.76335, 0.926113, 0.311926, 0.079976
