T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Number of Monte Carlo cycles: 100
1.33939, -1.979, 0.9935, 0.0926634, 0.0133127
1.35354, -1.9775, 0.992875, 0.0971449, 0.0148108
1.38182, -1.9755, 0.992375, 0.101391, 0.01521
1.39596, -1.981, 0.99425, 0.0772596, 0.0110087
1.42424, -1.948, 0.984125, 0.199749, 0.0296592
1.43838, -1.975, 0.992375, 0.0993258, 0.0146118
1.45253, -1.9725, 0.9915, 0.10284, 0.0159798
1.46667, -1.97, 0.99075, 0.109897, 0.017153
1.48081, -1.9705, 0.990875, 0.106038, 0.0168266
1.50909, -1.954, 0.98575, 0.157874, 0.0256365
1.52323, -1.9585, 0.987125, 0.14012, 0.0230345
1.55152, -1.9575, 0.986875, 0.138242, 0.0229201
1.56566, -1.947, 0.983625, 0.171651, 0.0285359
1.5798, -1.944, 0.98225, 0.174478, 0.0311684
1.59394, -1.9475, 0.983625, 0.160973, 0.0280296
1.60808, -1.939, 0.980875, 0.182958, 0.0325151
1.62222, -1.956, 0.9865, 0.130816, 0.0223588
1.63636, -1.9435, 0.9825, 0.167021, 0.0291958
1.65051, -1.927, 0.97725, 0.209489, 0.0375217
1.66465, -1.9605, 0.987875, 0.114671, 0.0199213
1.67879, -1.9295, 0.978375, 0.195903, 0.0344769
1.69293, -1.948, 0.983625, 0.141376, 0.026686
1.70707, -1.948, 0.983875, 0.141788, 0.0258981
1.72121, -1.9345, 0.979375, 0.171081, 0.0328538
1.73535, -1.921, 0.9755, 0.204232, 0.0380896
1.74949, -1.9205, 0.97525, 0.199534, 0.0380394
1.76364, -1.905, 0.97025, 0.232734, 0.045338
1.77778, -1.903, 0.97, 0.233623, 0.0446625
1.79192, -1.906, 0.971, 0.22319, 0.0427676
1.80606, -1.89, 0.96575, 0.2574, 0.0505563
1.8202, -1.9045, 0.97025, 0.222001, 0.0439291
1.86263, -1.886, 0.964375, 0.247888, 0.0508279
1.87677, -1.8785, 0.9625, 0.261466, 0.0524172
1.89091, -1.8805, 0.962625, 0.251397, 0.0524417
1.91919, -1.88, 0.963, 0.24717, 0.0505546
1.93333, -1.8965, 0.967625, 0.210058, 0.0447711
1.94747, -1.855, 0.955125, 0.287898, 0.0601779
1.96162, -1.847, 0.952625, 0.295837, 0.0625874
1.97576, -1.868, 0.95875, 0.256763, 0.0555198
2.00404, -1.8315, 0.948375, 0.31334, 0.0659116
2.01818, -1.8775, 0.961875, 0.227833, 0.0500133
2.03232, -1.86, 0.95625, 0.25412, 0.0567546
2.04646, -1.871, 0.95975, 0.230523, 0.0518063
2.07475, -1.8395, 0.95, 0.276208, 0.0626582
2.08889, -1.8685, 0.959, 0.227075, 0.0518343
2.10303, -1.8655, 0.9585, 0.228736, 0.0514072
2.11717, -1.841, 0.950875, 0.263, 0.0597953
2.13131, -1.859, 0.956125, 0.232576, 0.0539808
2.14545, -1.8325, 0.948375, 0.271949, 0.0620332
2.1596, -1.7945, 0.936, 0.31971, 0.0755308
2.17374, -1.823, 0.944875, 0.278232, 0.065829
2.18788, -1.8035, 0.93925, 0.304493, 0.0711821
2.20202, -1.811, 0.941375, 0.288956, 0.0685745
2.21616, -1.8285, 0.946875, 0.260284, 0.0620266
2.2303, -1.7665, 0.9275, 0.336515, 0.0815921
2.24444, -1.822, 0.94475, 0.262284, 0.0636192
2.25859, -1.7935, 0.935875, 0.298249, 0.0727455
2.28687, -1.7435, 0.920125, 0.352756, 0.087775
2.30101, -1.7655, 0.927375, 0.320331, 0.0793792
2.31515, -1.7705, 0.9285, 0.307713, 0.0779867
2.34343, -1.7735, 0.92975, 0.296956, 0.0754277
2.37172, -1.7275, 0.914875, 0.334749, 0.0882335
2.38586, -1.754, 0.923625, 0.310231, 0.08023
2.4, -1.716, 0.91125, 0.348156, 0.0918724
Number of Monte Carlo cycles: 10000
1, -1.99665, 0.998962, 0.0267551, 0.00287069
1.02828, -1.99705, 0.999088, 0.0222867, 0.00245231
1.07071, -1.9949, 0.998387, 0.0354985, 0.00426316
1.09899, -1.9957, 0.998663, 0.0284208, 0.00338297
1.12727, -1.99345, 0.99725, 0.0370885, 0.00462288
1.14141, -1.99345, 0.99795, 0.0400885, 0.00502288
1.1697, -1.99155, 0.9974, 0.0491996, 0.00608958
1.18384, -1.9922, 0.997575, 0.0443509, 0.00568192
1.19798, -1.9907, 0.997112, 0.0516, 0.00667094
1.21212, -1.99305, 0.997838, 0.0377112, 0.00495519
1.22626, -1.9891, 0.996637, 0.0576735, 0.00752675
1.2404, -1.9866, 0.99585, 0.0692068, 0.00921563
1.25455, -1.9845, 0.995188, 0.0781754, 0.0105874
1.26869, -1.98435, 0.995138, 0.0776733, 0.0106255
1.28283, -1.9849, 0.995287, 0.0733376, 0.01024
1.29697, -1.98595, 0.995613, 0.0663506, 0.009405
1.31111, -1.982, 0.994463, 0.0834805, 0.0115569
1.33939, -1.9798, 0.993675, 0.0891694, 0.0131328
1.35354, -1.9806, 0.993988, 0.0852018, 0.0123236
1.36768, -1.975, 0.992237, 0.106012, 0.0156353
1.38182, -1.9737, 0.991725, 0.108741, 0.0166998
1.39596, -1.97135, 0.991112, 0.116342, 0.0174855
1.4101, -1.97335, 0.991675, 0.106196, 0.0163625
1.42424, -1.972, 0.991275, 0.108882, 0.016883
1.45253, -1.96685, 0.989738, 0.123993, 0.0193138
1.46667, -1.97175, 0.991187, 0.103578, 0.016578
1.49495, -1.9632, 0.988475, 0.129306, 0.0212841
1.52323, -1.96195, 0.988112, 0.129387, 0.0215396
1.53737, -1.96195, 0.988138, 0.126679, 0.0212129
1.55152, -1.9497, 0.984375, 0.163293, 0.0274077
1.56566, -1.95365, 0.985537, 0.147762, 0.0252855
1.5798, -1.9532, 0.985387, 0.146504, 0.0253329
1.60808, -1.94405, 0.982513, 0.168558, 0.029726
1.62222, -1.949, 0.9841, 0.151997, 0.026839
1.65051, -1.9357, 0.980038, 0.183639, 0.032736
1.66465, -1.939, 0.980962, 0.171313, 0.0311629
1.67879, -1.93135, 0.9785, 0.18903, 0.0349365
1.69293, -1.9303, 0.978337, 0.188892, 0.0346133
1.70707, -1.9256, 0.976775, 0.198024, 0.0369302
1.72121, -1.93005, 0.978163, 0.184174, 0.0345788
1.74949, -1.9204, 0.9751, 0.200558, 0.0385654
1.76364, -1.91745, 0.974263, 0.204584, 0.0393649
1.77778, -1.91045, 0.972263, 0.209584, 0.0413649
1.79192, -1.90545, 0.970263, 0.219584, 0.0433649
1.8202, -1.90365, 0.969912, 0.224098, 0.0445577
1.83434, -1.9029, 0.969762, 0.221316, 0.0441672
1.84848, -1.90245, 0.969525, 0.218893, 0.0443255
1.86263, -1.89285, 0.966625, 0.235684, 0.0478059
1.87677, -1.88675, 0.9648, 0.2447, 0.0497898
1.89091, -1.8946, 0.96695, 0.224515, 0.0469514
1.90505, -1.88565, 0.9643, 0.24096, 0.050131
1.93333, -1.88355, 0.963788, 0.236439, 0.0496446
1.94747, -1.88055, 0.961788, 0.242439, 0.0516446
1.96162, -1.87485, 0.960888, 0.247236, 0.0531224
1.97576, -1.86785, 0.958862, 0.256005, 0.0549945
1.9899, -1.8654, 0.957975, 0.255053, 0.0556991
2.00404, -1.85685, 0.955313, 0.267924, 0.0587748
2.03232, -1.8484, 0.952538, 0.27428, 0.0614638
2.04646, -1.85665, 0.955163, 0.256303, 0.05775
2.06061, -1.84705, 0.952225, 0.269712, 0.0609142
2.07475, -1.8481, 0.95265, 0.263465, 0.0597335
2.08889, -1.84775, 0.952538, 0.260454, 0.0594643
2.10303, -1.83035, 0.947175, 0.284456, 0.0652097
2.11717, -1.83585, 0.948762, 0.272313, 0.0631616
2.14545, -1.81895, 0.943625, 0.289483, 0.0677886
2.1596, -1.81805, 0.943425, 0.285939, 0.0673029
2.17374, -1.81975, 0.943813, 0.281397, 0.066865
2.18788, -1.8073, 0.9399, 0.296036, 0.0708229
2.20202, -1.8106, 0.9408, 0.287841, 0.0696095
2.21616, -1.80385, 0.93875, 0.293218, 0.0712465
2.2303, -1.78815, 0.933987, 0.308002, 0.0752563
2.24444, -1.80285, 0.938612, 0.286991, 0.0702184
2.25859, -1.78215, 0.932025, 0.309136, 0.0766044
2.27273, -1.77215, 0.930025, 0.309536, 0.0776044
2.30101, -1.7697, 0.928338, 0.311833, 0.0784147
2.31515, -1.7822, 0.932163, 0.294156, 0.0744302
2.32929, -1.76785, 0.92765, 0.307141, 0.0783765
2.34343, -1.7559, 0.924075, 0.318456, 0.0813087
2.35758, -1.7554, 0.923975, 0.312456, 0.0803087
2.38586, -1.7552, 0.923813, 0.307694, 0.0801208
2.4, -1.75055, 0.922325, 0.308524, 0.080986
Number of Monte Carlo cycles: 100000
1, -1.99703, 0.999079, 0.0236848, 0.00255911
1.01414, -1.99653, 0.998979, 0.0256848, 0.00295911
1.02828, -1.99603, 0.998879, 0.0286848, 0.00335911
1.05657, -1.99569, 0.998656, 0.0307847, 0.0035495
1.07071, -1.99559, 0.998618, 0.0307064, 0.0036213
1.08485, -1.99516, 0.998479, 0.0328543, 0.00393902
1.11313, -1.99432, 0.998219, 0.0365367, 0.00449166
1.12727, -1.99341, 0.99794, 0.041445, 0.00510349
1.14141, -1.99266, 0.997705, 0.0448754, 0.00561929
1.15556, -1.99142, 0.997328, 0.0511833, 0.00642672
1.18384, -1.99033, 0.99698, 0.0549039, 0.00711121
1.19798, -1.99051, 0.997036, 0.0526492, 0.00689274
1.21212, -1.98897, 0.996559, 0.0597271, 0.00789536
1.2404, -1.98673, 0.995849, 0.0685662, 0.00933451
1.25455, -1.98606, 0.995664, 0.0703376, 0.00957103
1.26869, -1.98572, 0.995409, 0.0717858, 0.0101267
1.28283, -1.98472, 0.995209, 0.0737858, 0.0104267
1.31111, -1.98174, 0.994301, 0.0844122, 0.0120643
1.32525, -1.98215, 0.994419, 0.0806498, 0.0117056
1.33939, -1.97945, 0.993607, 0.0906984, 0.0131713
1.35354, -1.97819, 0.993191, 0.0942859, 0.0139391
1.38182, -1.97619, 0.992591, 0.0982859, 0.0147391
1.39596, -1.97479, 0.992131, 0.102395, 0.015602
1.4101, -1.97242, 0.991386, 0.109555, 0.0168929
1.42424, -1.97105, 0.990949, 0.112838, 0.0176022
1.45253, -1.96811, 0.990044, 0.119219, 0.0189195
1.46667, -1.96711, 0.989724, 0.120567, 0.0193501
1.49495, -1.96107, 0.987854, 0.137019, 0.0223535
1.50909, -1.96106, 0.987861, 0.134584, 0.0221114
1.53737, -1.95653, 0.986439, 0.144396, 0.0242211
1.55152, -1.95288, 0.985276, 0.153539, 0.0260715
1.56566, -1.95208, 0.985035, 0.152986, 0.0261994
1.5798, -1.95077, 0.984633, 0.154192, 0.0266365
1.59394, -1.94806, 0.98378, 0.159602, 0.0278446
1.60808, -1.94635, 0.98323, 0.161956, 0.0285527
1.62222, -1.94279, 0.982156, 0.169854, 0.0300384
1.63636, -1.94183, 0.981791, 0.169275, 0.0304616
1.65051, -1.93795, 0.980642, 0.177214, 0.0319333
1.66465, -1.9385, 0.98078, 0.17287, 0.0315246
1.67879, -1.93548, 0.979889, 0.178286, 0.0325918
1.69293, -1.93162, 0.978642, 0.185142, 0.0343136
1.70707, -1.92755, 0.977429, 0.192404, 0.0357745
1.72121, -1.92483, 0.976515, 0.196329, 0.0370168
1.73535, -1.92369, 0.976149, 0.196139, 0.0373019
1.74949, -1.92214, 0.975688, 0.196578, 0.0376341
1.77778, -1.91285, 0.972823, 0.212479, 0.0412062
1.79192, -1.90985, 0.971823, 0.214479, 0.0419062
1.80606, -1.90783, 0.971234, 0.216888, 0.0428405
1.8202, -1.90665, 0.970847, 0.216068, 0.0430779
1.83434, -1.90096, 0.96905, 0.2255, 0.0453478
1.84848, -1.89802, 0.968164, 0.228371, 0.0461802
1.87677, -1.89303, 0.96662, 0.231894, 0.0475701
1.89091, -1.89003, 0.96462, 0.241894, 0.0495701
1.91919, -1.88043, 0.962721, 0.246357, 0.0516044
1.93333, -1.87543, 0.960721, 0.249357, 0.0526044
1.96162, -1.87149, 0.959905, 0.252546, 0.0541592
1.9899, -1.86818, 0.95883, 0.251396, 0.0548119
2.00404, -1.86366, 0.957464, 0.255239, 0.0559795
2.01818, -1.85866, 0.955464, 0.261239, 0.0569795
2.03232, -1.85366, 0.954464, 0.265239, 0.0589795
2.04646, -1.85052, 0.953381, 0.267215, 0.0597759
2.07475, -1.84509, 0.951696, 0.268963, 0.0609638
2.08889, -1.83418, 0.948272, 0.281937, 0.061485
2.10303, -1.83018, 0.947272, 0.282937, 0.063485
2.11717, -1.82818, 0.946272, 0.283937, 0.064485
2.13131, -1.82542, 0.945559, 0.28455, 0.0663099
2.14545, -1.82451, 0.945286, 0.282071, 0.0661459
2.17374, -1.81377, 0.941944, 0.290158, 0.0689459
2.18788, -1.81077, 0.940944, 0.291158, 0.0695459
2.20202, -1.80777, 0.939944, 0.292158, 0.0700459
2.21616, -1.80377, 0.938944, 0.293158, 0.0710459
2.2303, -1.79953, 0.937523, 0.294476, 0.0718002
2.24444, -1.79363, 0.935693, 0.298463, 0.0732289
2.27273, -1.78469, 0.932991, 0.302646, 0.0749878
2.28687, -1.77946, 0.931275, 0.305208, 0.0763347
2.30101, -1.77919, 0.931186, 0.301747, 0.0759498
2.31515, -1.77076, 0.928569, 0.30816, 0.0780458
2.32929, -1.76806, 0.927747, 0.307089, 0.0782698
2.35758, -1.75698, 0.924344, 0.313471, 0.0806642
2.37172, -1.75375, 0.92334, 0.313271, 0.0811113
2.38586, -1.75303, 0.923094, 0.310547, 0.0809139
2.4, -1.74175, 0.919606, 0.318625, 0.0835499
Analyticals solution:
1, -1.99598, 0.998661, 0.0320823, 0.00401074
1.01414, -1.99551, 0.998503, 0.0348595, 0.00441961
1.02828, -1.995, 0.998332, 0.0377744, 0.00485602
1.04242, -1.99444, 0.998147, 0.0408264, 0.00532063
1.05657, -1.99384, 0.997947, 0.0440149, 0.00581408
1.07071, -1.99319, 0.997732, 0.0473388, 0.00633695
1.08485, -1.9925, 0.9975, 0.0507965, 0.00688975
1.09899, -1.99176, 0.997253, 0.0543862, 0.00747295
