⟨ϵ⟩, ⟨|m|⟩
-2.005, 1.0025
-2.0025, 1.00125
-2.00167, 1.00083
-2.00125, 1.00063
-2.001, 1.0005
-2.00083, 1.00042
-2.00071, 1.00036
-2.00062, 1.00031
-2.00056, 1.00028
-2.0005, 1.00025
-2.00045, 1.00023
-2.00042, 1.00021
-2.00038, 1.00019
-2.00036, 1.00018
-2.00033, 1.00017
-1.99992, 1.00006
-1.99874, 0.999759
-1.99806, 0.999583
-1.99816, 0.999605
-1.99806, 0.999578
-1.99738, 0.999405
-1.9975, 0.999432
-1.99761, 0.999457
-1.99771, 0.999479
-1.9978, 0.9995
-1.99789, 0.999519
-1.99709, 0.999318
-1.99661, 0.999196
-1.99673, 0.999224
-1.99683, 0.99925
-1.99694, 0.999274
-1.99703, 0.999297
-1.99656, 0.999177
-1.99607, 0.999054
-1.99614, 0.999071
-1.99625, 0.999097
-1.99635, 0.999122
-1.99645, 0.999145
-1.99654, 0.999167
-1.99663, 0.999188
-1.99671, 0.999207
-1.99646, 0.999145
-1.9964, 0.999128
-1.99648, 0.999148
-1.99656, 0.999167
-1.99663, 0.999185
-1.9967, 0.999202
-1.99677, 0.999219
-1.99684, 0.999235
-1.99671, 0.999201
-1.99657, 0.999167
-1.99664, 0.999183
-1.9967, 0.999198
-1.99676, 0.999213
-1.99682, 0.999227
-1.99688, 0.999241
-1.99693, 0.999254
-1.99698, 0.999267
-1.99703, 0.99928
-1.99682, 0.999226
-1.9968, 0.999221
-1.99686, 0.999234
-1.99691, 0.999246
-1.9968, 0.999221
-1.99658, 0.999163
-1.99644, 0.999129
-1.99649, 0.999142
-1.99654, 0.999154
-1.99659, 0.999167
-1.99645, 0.999131
-1.99641, 0.99912
-1.99646, 0.999132
-1.99651, 0.999144
-1.99655, 0.999155
-1.9966, 0.999167
-1.99665, 0.999178
-1.99625, 0.99908
-1.99622, 0.999071
-1.99627, 0.999082
-1.99631, 0.999094
-1.99636, 0.999105
-1.9964, 0.999116
-1.99645, 0.999127
-1.99649, 0.999137
-1.99653, 0.999147
-1.99657, 0.999157
-1.99661, 0.999167
-1.99665, 0.999176
-1.99669, 0.999185
-1.99672, 0.999194
-1.99667, 0.999182
-1.99658, 0.999158
-1.99661, 0.999167
-1.99665, 0.999176
-1.99644, 0.999102
-1.99641, 0.999089
-1.99644, 0.999098
-1.99648, 0.999107
-1.99652, 0.999116
-1.99643, 0.999095
-1.99633, 0.999071
-1.99623, 0.999044
-1.99626, 0.999053
-1.9963, 0.999062
-1.99633, 0.999071
-1.99637, 0.99908
-1.9964, 0.999088
-1.99625, 0.999051
-1.99628, 0.99906
-1.99632, 0.999068
-1.99635, 0.999077
-1.99638, 0.999085
-1.99638, 0.999084
-1.99627, 0.999057
-1.9963, 0.999065
-1.99608, 0.99901
-1.99603, 0.998996
-1.99606, 0.999004
-1.99609, 0.999013
-1.99613, 0.999021
-1.99616, 0.999029
-1.99619, 0.999037
-1.99622, 0.999045
-1.99625, 0.999052
-1.99628, 0.99906
-1.99631, 0.999067
