T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Lattice size: 40×40
2.24694, -1.44506, 0.631302, 2.4427, 57.0938
2.26531, -1.40051, 0.511234, 2.73646, 99.0407
2.28367, -1.35817, 0.382014, 2.37691, 105.974
2.29592, -1.33551, 0.331967, 2.18016, 97.0123
2.30816, -1.3127, 0.2709, 1.8384, 74.3634
2.33265, -1.27482, 0.200524, 1.59212, 52.8654
2.32041, -1.29218, 0.220538, 1.68765, 62.3277
2.3449, -1.25934, 0.180897, 1.46878, 44.4709
2.35714, -1.24269, 0.156034, 1.40956, 34.4572
2.36939, -1.22683, 0.142961, 1.34102, 29.9007
2.38163, -1.2124, 0.125406, 1.25847, 22.5715
2.39388, -1.19897, 0.120136, 1.22219, 21.1351
2.10612, -1.64379, 0.855325, 1.31701, 3.75175
2.12449, -1.62446, 0.843079, 1.39682, 4.63887
2.14286, -1.60457, 0.830566, 1.44363, 3.94146
2.16122, -1.58137, 0.810772, 1.55685, 7.17916
2.17959, -1.55767, 0.792734, 1.64689, 6.1837
2.19796, -1.53028, 0.759606, 1.87828, 19.3678
2.21633, -1.50311, 0.735679, 1.92611, 11.1783
2.23469, -1.46841, 0.678281, 2.21463, 30.0084
2.25306, -1.4308, 0.602157, 2.4478, 58.972
2.27143, -1.38504, 0.461963, 2.59896, 107.915
2.2898, -1.3475, 0.363139, 2.31613, 105.042
2.30204, -1.32139, 0.287817, 1.96745, 86.2828
2.31429, -1.3013, 0.252414, 1.8263, 70.4302
2.32653, -1.28263, 0.202221, 1.62254, 55.4315
2.33878, -1.26623, 0.192423, 1.57401, 49.8939
2.35102, -1.24919, 0.166742, 1.4327, 39.523
2.36327, -1.23358, 0.146442, 1.38571, 31.7098
2.37551, -1.21908, 0.136958, 1.31735, 27.0324
2.38776, -1.20503, 0.126262, 1.23911, 22.4194
2.4, -1.19112, 0.115651, 1.19862, 19.832
2.11224, -1.63652, 0.848129, 1.41902, 9.93435
2.13061, -1.61681, 0.836824, 1.44126, 7.4132
2.14898, -1.59656, 0.824431, 1.46529, 3.95356
2.16735, -1.57341, 0.804685, 1.64816, 6.39221
2.18571, -1.54932, 0.785845, 1.66075, 5.16762
2.20408, -1.5225, 0.75821, 1.80932, 8.75357
2.22245, -1.49206, 0.718491, 2.031, 17.4779
2.24082, -1.45634, 0.660747, 2.26031, 35.2733
2.25918, -1.41721, 0.576952, 2.50358, 62.8207
2.27755, -1.37183, 0.416632, 2.58882, 115.741
Lattice size: 100×100
2.1, -1.64936, 0.849304, 1.52395, 39.1944
2.13673, -1.61075, 0.829765, 1.59398, 22.2871
2.11837, -1.63126, 0.847727, 1.41134, 6.60232
2.1551, -1.58826, 0.806606, 1.75748, 43.8911
2.17347, -1.56641, 0.800584, 1.63553, 4.67972
2.19184, -1.54059, 0.776056, 1.74162, 8.43701
2.2102, -1.5122, 0.741175, 1.99636, 22.6125
2.22857, -1.48166, 0.702181, 2.1513, 26.9379
2.24694, -1.4439, 0.624691, 2.54903, 66.6372
