T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Lattice size: 40×40
2.27347, -1.3881, 0.496029, 2.51184, 93.3467
2.28265, -1.36333, 0.412616, 2.45852, 108.187
2.29184, -1.34446, 0.355844, 2.27931, 104.425
2.29796, -1.33361, 0.332002, 2.14023, 98.8222
2.30408, -1.32056, 0.293913, 1.94729, 81.6088
2.3102, -1.30851, 0.251701, 1.84256, 76.6355
2.31633, -1.30013, 0.248209, 1.7571, 68.6029
2.32857, -1.28096, 0.207996, 1.61779, 55.1503
2.32245, -1.29012, 0.227332, 1.72232, 63.9086
2.33469, -1.27332, 0.20079, 1.55521, 52.5358
2.34082, -1.26423, 0.186158, 1.50824, 46.153
2.34694, -1.25554, 0.171717, 1.46277, 40.7411
2.20306, -1.52317, 0.756226, 1.89311, 14.0398
2.21224, -1.50948, 0.742595, 1.9012, 10.6592
2.22143, -1.49315, 0.714517, 2.12196, 24.7233
2.23061, -1.47513, 0.684519, 2.27059, 35.1396
2.2398, -1.46063, 0.670689, 2.1885, 28.3676
2.24898, -1.43858, 0.613114, 2.48093, 58.1605
2.25816, -1.42132, 0.578878, 2.53393, 71.1233
2.26735, -1.39582, 0.499618, 2.64268, 98.5618
2.27653, -1.37784, 0.46466, 2.41701, 89.4002
2.28571, -1.35167, 0.355975, 2.21612, 100.672
2.2949, -1.33877, 0.349773, 2.13732, 91.793
2.30102, -1.32704, 0.309469, 2.10176, 92.0904
2.31327, -1.30444, 0.257766, 1.83404, 70.9752
2.30714, -1.31643, 0.292826, 1.95263, 83.4657
2.31939, -1.2932, 0.22782, 1.73872, 64.2173
2.32551, -1.28456, 0.214132, 1.63588, 59.5318
2.33163, -1.27638, 0.200724, 1.62412, 54.7928
2.34388, -1.25944, 0.177594, 1.50435, 43.0987
2.35, -1.25115, 0.162915, 1.42918, 35.9667
2.33776, -1.26762, 0.186307, 1.51856, 48.6217
2.20612, -1.51994, 0.754719, 1.83218, 9.34813
2.21531, -1.50462, 0.735721, 1.91158, 12.8692
2.22449, -1.48893, 0.713953, 2.0564, 21.092
2.23367, -1.4728, 0.689117, 2.14294, 28.1795
2.24286, -1.45114, 0.638761, 2.39983, 53.8816
2.25204, -1.43451, 0.614612, 2.43849, 56.2755
2.26122, -1.40953, 0.536864, 2.58222, 92.9545
2.27041, -1.38655, 0.467677, 2.59609, 105.936
2.27959, -1.36662, 0.422216, 2.43213, 101.723
2.28878, -1.34632, 0.339066, 2.25005, 107.449
Lattice size: 100×100
2.2, -1.53128, 0.768452, 1.76212, 7.09939
2.20918, -1.51732, 0.747309, 1.95415, 26.7417
2.21837, -1.50181, 0.729444, 2.03956, 20.1245
2.22755, -1.48683, 0.708841, 2.06345, 29.8893
2.23673, -1.46544, 0.658633, 2.51145, 69.5682
2.24592, -1.45057, 0.64575, 2.34562, 46.278
2.2551, -1.42787, 0.570493, 2.71783, 124.966
2.26429, -1.40728, 0.521957, 2.72335, 129.375
2.27347, -1.38171, 0.412786, 2.62062, 171.376
2.28265, -1.36168, 0.363182, 2.35074, 143.777
2.29184, -1.34414, 0.31601, 2.23019, 135.609
2.29796, -1.33044, 0.257507, 1.96191, 109.424
2.30408, -1.32149, 0.245384, 1.89804, 109.32
2.3102, -1.30907, 0.214863, 1.81322, 89.4678
2.31633, -1.3003, 0.202977, 1.73377, 81.2936
2.32245, -1.29149, 0.18914, 1.69303, 78.2693
2.32857, -1.28227, 0.175696, 1.59789, 63.3527
2.33469, -1.27358, 0.165883, 1.5743, 57.7441
2.34082, -1.26474, 0.145938, 1.49873, 47.3792
2.34694, -1.25741, 0.141423, 1.49399, 47.774
2.20306, -1.52584, 0.755439, 1.90521, 30.1774
2.21224, -1.51155, 0.743627, 1.94693, 12.4323
2.22143, -1.49388, 0.709219, 2.21889, 42.6847
2.23061, -1.48013, 0.702154, 2.1459, 20.2566
2.2398, -1.462, 0.664064, 2.34358, 48.0261
2.24898, -1.44228, 0.614725, 2.63198, 91.1066
2.25816, -1.41921, 0.550577, 2.79115, 116.216
2.26735, -1.40191, 0.526094, 2.55827, 98.9184
2.27653, -1.37254, 0.390207, 2.58379, 156.916
2.28571, -1.3561, 0.360371, 2.37092, 142.592
2.2949, -1.33937, 0.31262, 2.21162, 135.534
2.30102, -1.32513, 0.25484, 2.02053, 119.607
2.30714, -1.31421, 0.233061, 1.85177, 97.7604
2.31327, -1.30436, 0.211203, 1.8125, 84.1716
2.31939, -1.29497, 0.196353, 1.69341, 73.8727
2.32551, -1.28569, 0.184059, 1.65257, 67.6533
2.33776, -1.26835, 0.153129, 1.58127, 53.8903
2.33163, -1.27607, 0.166409, 1.59397, 58.0103
2.35, -1.25196, 0.137865, 1.45911, 44.4235
2.34388, -1.26083, 0.149506, 1.52533, 52.4325
2.20612, -1.51987, 0.749584, 1.95351, 27.3716
2.21531, -1.50692, 0.739983, 1.97449, 14.7385
2.22449, -1.48841, 0.702218, 2.21648, 51.8375
2.23367, -1.47248, 0.685942, 2.2509, 30.858
2.24286, -1.45296, 0.638273, 2.53513, 78.0837
2.25204, -1.43347, 0.598639, 2.59919, 84.3319
2.26122, -1.41002, 0.52486, 2.69163, 123.11
2.27041, -1.39253, 0.483199, 2.63744, 130.566
2.27959, -1.36684, 0.383437, 2.51304, 157.806
2.28878, -1.34931, 0.323198, 2.41898, 153.317
